ClassTable,nameTextId,descTextId,number,promotion,SMSId,slowWalking,defaultPortraitId,unk0A,baseHP,basePow,baseSkl,baseSpd,baseDef,baseRes,baseCon,baseMov,maxHP,maxPow,maxSkl,maxSpd,maxDef,maxRes,maxCon,classRelativePower,growthHP,growthPow,growthSkl,growthSpd,growthDef,growthRes,growthLck,promotionHP,promotionPow,promotionSkl,promotionSpd,promotionDef,promotionRes,attributes,baseSwordRank,baseLanceRank,baseAxeRank,baseBowRank,baseStaffRank,baseAnimaRank,baseDaggerRank,baseStoneRank,pBattleAnimDef,pMovCostTable,pRainMovCostTable,pSnowMovCostTable,pTerrainAvoidLookup,pTerrainDefenseLookup,pTerrainResistanceLookup,classType
3694,0x9877,0x7431,0x77,0x98,0x44,0x89,0x9777,0x99,-103,120,-121,-119,-104,120,-121,-119,-121,-45,109,0,0,61,100,0,0,-104,-88,6,0,-105,-104,6,0,-121,-120,6,0,0x6a8877,120,136,105,0,121,135,104,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0
3695,0x6000,0x69a6,0x60,0x96,0xee,0x69,0xee96,0xee,105,-2,-1,-18,105,-1,-1,-18,-88,-1,-1,-18,-88,-1,-1,-18,-88,-1,-17,-18,72,-121,74,69,-106,-121,74,69,-90,0x65354a87,136,90,68,101,136,218,67,101,0x64554a89,0x643d3a89,0x65ddda8a,0x23566669,0x566666a9,0x66666699,0x56666699,1717986970
3696,0x6696,0x6666,0xa6,0x6a,0x66,0x56,0x6a66,0x66,102,50,84,85,102,101,102,102,69,102,86,52,18,102,35,17,17,68,19,33,83,54,19,84,102,86,35,99,53,0x22523364,102,67,134,119,51,67,134,119,0x777a6321,0x87796643,0x87786566,0x87786346,0x8877a622,0x98779663,0x66aaa878,3597298040
3697,0x6a88,0x1d6a,0x98,0x66,0xd6,0x51,0x66a8,0xd3,69,105,70,93,-44,106,-43,84,77,102,77,68,17,19,93,68,68,17,68,68,19,29,-44,17,-47,-44,17,-47,100,0x9664d144,212,109,150,254,221,150,254,255,0xfffff96d,0xdd1111d3,0x66664d11,0xee896664,0xeeffee96,0xfffffffe,0xffffffff,4294967295
3698,0xffff,0xffff,0x7a,0x59,0x36,0x5d,0x5989,0x46,51,-104,102,108,102,104,-52,108,68,-55,-52,108,-35,-52,-52,108,-35,-52,-53,108,-35,-68,-53,108,-35,70,77,101,102,0x66666666,102,102,170,106,102,102,170,106,0xaaaa6666,0xaaaa6666,0xaaa66666,0xaaa66666,0x41d5d566,0x414d5666,0x41d56666,3511051878
3699,0x6666,0x1d56,0x66,0x66,0x66,0xd5,0x6666,0x66,86,106,-90,102,102,-2,-1,-1,-1,-18,-1,-1,-1,-23,-18,-1,-1,-28,-18,-18,-2,-108,-18,-18,-18,65,-23,-18,-18,0xeee9441d,213,209,68,148,0,0,96,52,0x44600000,0x65600000,0x66000000,0x60000000,0xa6000000,0xa6000000,0xa6000000,1717982259
3700,0x6554,0x6666,0x66,0x66,0x66,0x66,0x6666,0x66,-90,102,102,102,-90,-86,102,102,-86,106,102,102,-86,106,102,-90,-86,-1,-1,-1,-1,-1,-1,-1,-17,-1,-1,-17,-18,0xeeeeefff,238,238,238,238,238,238,238,238,0xeeeeeeee,0xeeeeeeee,0x6eeeeef,0x6eeeeee,0x69eeeeee,0x69eeeeee,0x6eeeeeee,1861152494
3701,0xeeee,0x6eee,0xee,0xee,0xee,0x69,0x7987,0xa9,-103,-121,121,-87,-103,-121,122,-103,-102,-121,122,-103,-102,-120,122,-103,-86,-120,122,-104,-86,-120,122,-104,70,-120,122,-104,70,0x49953a97,167,38,213,93,167,70,67,19,0x211365a8,0x521465a8,0x42155559,0x2114554a,0x2114544a,0xa329a223,0x5329a211,1163502353
3702,0x5664,0x4339,0x45,0x54,0x39,0x33,0x4432,0x2a,50,50,83,74,51,34,67,106,102,-103,-121,-103,120,-102,-121,-103,120,-102,120,-87,120,-102,120,-87,121,-107,121,89,-118,0x8a4979a5,84,121,57,154,68,138,57,165,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0
3703,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0
3704,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,52,79,-1,99,95,59,125,42,-45,37,44,37,-121,32,104,49,-28,32,-118,20,21,9,-80,4,-117,8,-56,36,0x36124ed8,0,0,0,96,0,0,0,96,0x60000000,0x0,0x0,0x0,0x0,0x0,0x11232111,306459153
3705,0x4432,0x1344,0x66,0x44,0x34,0x12,0x3600,0x12,17,0,54,34,34,0,54,84,85,0,96,69,52,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0x11112111,18,17,18,17,68,19,18,33,0x31121354,0x64322221,0x55322222,0x55322223,0x55322223,0x55422224,0x54532234,1146368583
3706,0x7377,0x4445,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,85,68,0x11126000,0,96,35,17,0,96,68,36,0x13360000,0x34360000,0x77486000,0x78786000,0x42111123,0x72111111,0x74211111,1999769889
3707,0x4231,0x7743,0x42,0x83,0x75,0x87,0x7874,0x77,-121,119,119,120,72,119,87,69,68,119,88,68,67,-121,72,52,67,72,72,36,67,72,68,35,67,68,52,34,67,0x43222344,52,34,34,51,0,0,0,96,0x60000000,0x60000000,0x0,0x0,0x0,0x0,0x0,287514897
3708,0x3211,0x1244,0x32,0x44,0x44,0x13,0x4466,0x34,18,0,54,18,17,0,54,18,17,0,54,84,69,0,96,85,68,17,17,17,17,17,17,17,17,17,17,17,17,0x11111111,17,33,17,17,17,17,18,17,0x21121254,0x31121223,0x64322221,0x55322222,0x55322223,0x55322223,0x55422224,1414734388
3709,0x3247,0x4454,0x77,0x73,0x45,0x44,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x11126000,0,96,35,34,0,96,69,35,0x12360000,0x13260000,0x34360000,0x77486000,0x78786000,0x42111111,0x72111111,1948324113
3710,0x1121,0x7732,0x31,0x42,0x43,0x77,0x8342,0x75,-121,116,120,119,-121,119,119,120,72,119,87,69,68,119,88,68,67,-121,72,52,67,72,72,36,67,72,68,35,67,0x43223444,68,35,34,67,52,34,34,51,0x60000000,0x60000000,0x60000000,0x0,0x0,0x0,0x0,0
3711,0x2111,0x1123,0x11,0x32,0x44,0x12,0x4432,0x44,19,102,68,52,18,0,54,18,17,0,54,18,17,0,54,68,51,0,96,18,17,17,17,17,17,17,17,17,17,0x11111111,17,17,17,17,17,33,17,17,0x11121111,0x21121254,0x31121221,0x64322221,0x55322222,0x55322223,0x55322223,1430397476
3712,0x2234,0x5453,0x47,0x32,0x54,0x44,0x7377,0x45,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,96,18,17,0,96,68,51,0x23360000,0x12360000,0x13260000,0x34360000,0x77486000,0x78786000,0x42111111,1913721105
3713,0x1111,0x7421,0x21,0x11,0x32,0x77,0x4231,0x43,119,66,-125,117,-121,116,120,119,-121,119,119,120,72,119,87,69,68,119,88,68,67,-121,72,52,67,72,72,36,67,0x43234448,68,52,34,67,68,35,34,67,0x33222234,0x60000000,0x60000000,0x60000000,0x0,0x0,0x0,0
3714,0x0,0x0,0x11,0x21,0x23,0x11,0x3211,0x44,18,50,68,68,19,102,68,52,18,0,54,18,17,0,54,18,17,0,54,84,85,0,96,69,52,17,17,17,17,0x11111111,17,17,17,17,17,17,17,17,0x11112111,0x11121111,0x21121234,0x31121354,0x64322221,0x55322222,0x55322223,1429348899
3715,0x2224,0x5542,0x34,0x22,0x53,0x54,0x3247,0x54,68,119,115,69,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,96,85,68,0x11126000,0x11236000,0x24446000,0x13360000,0x34360000,0x77486000,0x78786000,1108415027
3716,0x1111,0x7211,0x11,0x11,0x21,0x74,0x1121,0x32,119,49,66,67,119,66,-125,117,-121,116,120,119,-121,119,119,120,72,119,87,69,68,119,88,68,67,-121,72,52,67,0x43244848,72,68,35,67,68,52,34,67,0x43222344,0x33222234,0x60000000,0x60000000,0x60000000,0x0,0x0,0
3717,0x0,0x0,0x0,0x0,0x0,0x0,0x2111,0x23,17,17,50,68,18,50,68,68,19,102,68,52,18,0,54,18,17,0,54,18,17,0,54,84,69,0,96,85,68,0x11111111,17,17,17,17,17,17,17,17,0x11111111,0x11112111,0x11121111,0x21121254,0x31121223,0x64322221,0x55322222,1429348899
3718,0x2223,0x5532,0x24,0x22,0x42,0x55,0x2234,0x53,84,71,50,84,68,119,115,69,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x11126000,0x22236000,0x23456000,0x12360000,0x13260000,0x34360000,0x77486000,2021154816
3719,0x1111,0x4211,0x11,0x11,0x11,0x72,0x1111,0x21,116,33,17,50,119,49,66,67,119,66,-125,117,-121,116,120,119,-121,119,119,120,72,119,87,69,68,119,88,68,67,0x43344887,72,72,36,67,72,68,35,67,0x43223444,0x43222344,0x33222234,0x60000000,0x60000000,0x60000000,0x0,0
3720,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,17,33,35,17,17,50,68,18,50,68,68,19,102,68,52,18,0,54,18,17,0,54,18,17,0,54,68,51,0x11126000,17,17,17,17,17,17,17,17,0x11111111,0x11111111,0x11112111,0x11121111,0x21121254,0x31121221,0x64322221,1429348898
3721,0x2223,0x5532,0x23,0x22,0x32,0x55,0x2224,0x42,85,52,34,83,84,71,50,84,68,119,115,69,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x11126000,0x33446000,0x23360000,0x12360000,0x13260000,0x34360000,2001231872
3722,0x6000,0x7878,0x11,0x11,0x11,0x42,0x1111,0x11,114,17,17,33,116,33,17,50,119,49,66,67,119,66,-125,117,-121,116,120,119,-121,119,119,120,72,119,87,69,68,0x43445877,135,72,52,67,72,72,36,67,0x43234448,0x43223444,0x43222344,0x33222234,0x20010,0x60000020,0x60006601,1610643558
3723,0x7786,0x677,0x76,0x77,0x87,0x0,0x8760,0x45,120,-122,71,34,-125,0,0,102,102,102,102,119,119,-121,2,68,-120,119,119,-120,51,48,4,120,0,119,-120,50,-124,0x43236787,16,136,103,204,48,56,0,0,0xc0687,0x687700,0x78080007,0x680088,0x668887c,0x670878a,0x1f01500,913703312
3724,0x3111,0x8600,0x26,0x11,0x21,0x66,0x2126,0x54,0,6,70,66,37,6,96,33,67,3,96,96,17,17,0,102,0,3,0,7,0,56,120,104,-70,40,-124,100,-70,0x64832300,171,35,49,136,172,0,18,17,0x1111a642,0x80b632,0x2111c503,0xa78ac522,0xba006b00,0xba06caa7,0x6ba00a7,1823124410
3725,0xabaa,0xaa00,0x6b,0xaa,0xbb,0xaa,0xaaba,0xba,73,-85,0,3,-69,-69,-16,113,0,0,16,-108,80,107,0,3,-53,16,8,96,52,17,0,25,0,54,51,0,8,0x12600700,0,3,84,36,0,3,119,0,0x3008603,0x41002100,0x7115c522,0x11c542,0x11c45772,0x84c34874,0xc3248700,3290581111
3726,0x88,0x3223,0xc5,0x46,0x31,0x64,0xaac6,0x0,-86,-69,-68,-86,-86,-85,-53,-86,-68,0,114,-86,0,8,0,1,16,5,48,3,-69,-86,42,-86,-68,0,99,-85,0,0x300aa03,186,128,16,3,108,6,0,202,0x6006bab,0x6babc6a,0x31ab006b,0x6c08663e,0x1cb6000,0xaaab7f,0xabbbc600,2863384064
3727,0x60,0xbc6c,0x6b,0xc6,0xcc,0x66,0x4666,0x0,101,-74,-74,101,-74,-70,-74,-74,64,-86,0,45,-70,-74,-86,-86,108,-85,0,-53,107,-69,102,-76,-68,108,34,3,-53,0x6a44cc66,186,0,235,0,247,0,107,186,0xbbb6cbaa,0xab0066cb,0xaabc6cc6,0xbcbcb6,0xcbacabaa,0xbaababaa,0x3100ab43,3148524475
3728,0x8900,0xa030,0x80,0xd0,0x1,0x0,0x400,0x10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,102,0x66666000,0,0,0,0,0,0,0,0,0x0,0x66000000,0x68660000,0x88886660,0x77888866,0x87778886,0x66000000,2288410624
3729,0x8666,0x7777,0x54,0x86,0x77,0x77,0x5445,0x88,119,102,53,67,-120,-120,-120,52,67,-120,-120,-120,52,102,102,102,102,-120,119,119,-121,119,119,119,119,119,119,119,119,0x77777777,119,119,119,119,136,119,119,119,0x77778843,0x6,0x668,0x66888,0x6688877,0x68887777,0x88877777,2289530744
3730,0x7887,0x8777,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,104,0,0,0,-120,6,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0
3731,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,96,0,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,17,33,35,17,0x12443211,0x13444432,0x12344466,0x11123600,0x11123600,0x33443600,0x11126000,286331153
3732,0x1111,0x1111,0x11,0x11,0x11,0x11,0x1111,0x11,17,17,33,17,17,17,17,18,17,84,18,18,33,33,18,18,49,33,34,50,100,34,34,50,85,35,34,50,85,0x55322223,36,34,66,85,52,34,83,84,0x44543247,0x44457377,0xaaaaaaac,0xaaaaaaa6,0xaaaaaaa6,0xaaaaaab6,0xaaaaaab6,2863311542
3733,0xaac6,0xaaaa,0xc6,0xaa,0xaa,0xaa,0xbbba,0xab,-86,-70,-69,-68,-86,-70,-69,-53,-85,-86,-69,-70,-68,-86,-69,-86,-53,-86,-70,-85,-70,-86,-70,-85,-86,-86,-86,-69,-86,0xbcbbcbba,186,203,187,172,186,203,203,171,0xaacbcbab,0xaabccbbb,0xaaabcccc,0xaaaabcba,0xbaaaaaaa,0x6,0x6,6
3734,0x6,0x0,0x6,0x0,0x0,0x0,0x6,0x0,0,6,0,0,0,6,0,0,0,0,96,-68,-69,0,96,-69,-69,0,-58,-68,-69,0,-58,-52,-52,96,-52,-52,-52,0x666ccc60,96,204,198,204,0,102,76,67,0xaaaaaabb,0xaaaaaabb,0xbbaaaaab,0x6bbbbccc,0xc6cbbbbb,0x66666666,0xcccccccc,3150761164
3735,0xbaaa,0xc66c,0xba,0x6c,0xc6,0xbb,0xc66c,0xbb,-85,-58,-69,-69,-53,-69,-52,108,102,102,102,-58,-52,76,50,-52,75,44,34,68,-76,-85,-70,108,102,-70,102,-58,68,0xb443256b,198,34,194,187,204,35,196,187,0xbabccc4b,0xcaabccb4,0x6aaabccc,0x0,0x0,0x0,0x0,0
3736,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,6,0,0,0,107,6,0,0,0x66cbb,0x66cbaaa,0x6cbaaaaa,0x6bbaaaaa,0x6bbaabbb,0x6bcccccc,0x0,0
3737,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,66,17,17,17,50,17,17,17,49,17,17,17,33,0x21111111,17,17,34,67,17,50,84,85,0x34455422,0x78422238,0x84322248,0x83222258,0x52345383,0x43455555,0x33544555,574825012
3738,0x4543,0x2223,0x87,0x77,0xb6,0xca,0x7887,0xb6,-54,-121,-120,-74,-54,-120,-120,-58,-54,-120,-124,104,-70,-120,67,104,-85,-123,52,101,-85,-125,56,100,-84,-53,-86,-116,-121,0x878baacb,187,170,138,135,187,170,186,136,0x78baaabb,0x78baabbb,0x78baabbb,0x78baabbb,0x60000000,0x60000000,0x60000000,0
3739,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,17,33,35,17,17,50,68,18,50,68,68,19,102,68,52,18,0,54,18,17,0,54,18,17,0x33443600,0,96,18,17,17,17,17,17,0x11111111,0x11111111,0x11111111,0x11112111,0x11121111,0x21121254,0x31121221,1681007137
3740,0x2222,0x5532,0x23,0x22,0x32,0x55,0x2223,0x32,85,36,34,66,85,52,34,83,84,71,50,84,68,119,115,69,68,0,102,0,96,0,6,96,-122,0,0,-122,119,0x77786000,0,134,119,119,0,118,119,135,0x58777860,0x48877860,0x77778888,0x77777877,0x88777777,0x87777777,0x77888888,2017674328
3741,0x2223,0x8422,0x12,0x11,0x11,0x83,0x8877,0x88,-120,119,119,-120,119,119,119,-121,119,-120,119,119,119,-120,-120,119,-121,56,84,120,-121,56,50,-123,119,56,34,83,120,0x77884334,136,52,67,136,135,136,68,67,0x12368877,0x21468777,0x34c67778,0xccb67788,0xcbb67788,0x77788777,0x77887777,2022143864
3742,0x7784,0x8877,0xc3,0x78,0x77,0x88,0x8cc4,0x77,-121,-61,-53,120,-121,-52,-70,-116,-121,-120,104,0,0,-120,-120,6,0,-120,-120,104,0,-120,-120,-120,6,-120,-120,-122,6,0x68606888,136,136,6,102,136,136,6,102,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0
3743,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x11126000,0x33446000,0x23360000,0x12360000,321257472
3744,0x0,0x3436,0x0,0x60,0x48,0x77,0x6000,0x78,120,17,17,17,66,17,17,17,114,17,17,33,116,33,17,50,119,49,66,67,119,66,-125,117,-121,116,120,119,-121,0x48787777,119,87,69,68,119,88,68,67,0x43344887,0x43244848,0x43234448,0x43223444,0x43222344,0x33222234,0xaaaaaa65,2863311461
3745,0xaa65,0xaaaa,0x64,0xaa,0xaa,0xaa,0xaa64,0xaa,-86,100,-86,-86,-70,100,-86,-86,-70,101,-86,-86,-70,-86,-86,-70,-86,-86,-86,-86,-85,-86,-86,-86,-70,-86,-86,-86,-86,0xaaaaaaaa,170,170,170,170,170,170,170,170,0xaaaaaaaa,0xbaaaaaaa,0xcaaaaaaa,0x6aaaaaaa,0x6aaaaaaa,0x6aaaaaaa,0x6baaaaaa,1806346922
3746,0xaaaa,0x6caa,0x6,0x0,0x0,0x0,0x66,0x0,0,108,0,0,0,-53,6,0,0,-69,108,6,0,-69,-69,108,0,-69,-85,-70,6,-69,-86,-86,107,0,-58,60,34,0x324ccc60,96,204,203,204,198,204,187,187,0xbbbbbcc6,0xbbbbbccc,0xbbbbbccc,0xbbbbbbcc,0x4bcccbbc,0x4542454c,0xcc222ccc,3159510203
3747,0xcbbb,0xbbcc,0xbb,0xbb,0xbb,0xbb,0xbbbb,0xbb,-85,-69,-69,-69,-86,52,50,-52,-52,-53,-52,-85,-69,-68,-85,-86,-53,-69,-86,-70,-68,-85,-86,-53,-69,-86,-86,-68,-85,0xaabbbaaa,170,187,171,170,203,171,170,107,0x6caaaabc,0xc6baaaab,0xb6baaaab,0xb6bbaaaa,0xb6bbaaaa,0xb6bbaaaa,0xb6bbaaaa,0
3748,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0xccccbbbb,0xcbbbbbbb,0xbbbbbaaa,0xbbbaaaaa,0xbbaaaaaa,3131746986
3749,0xaaaa,0xbaaa,0xaa,0xaa,0xaa,0xaa,0x6,0x0,0,108,0,0,0,-52,6,0,0,-53,6,0,0,-69,108,0,0,-69,107,0,0,-69,-53,6,0,-69,-53,6,0,0x65444523,19,51,99,84,18,50,82,70,0x22312111,0x21112111,0x11111111,0x11111111,0x11111111,0x11122435,0x11112241,286331444
3750,0x1122,0x1111,0x12,0x11,0x11,0x11,0x1111,0x11,17,17,17,17,17,17,17,17,17,66,-120,-120,-90,34,-125,88,-74,34,34,67,-74,33,34,51,-58,33,34,51,101,0x65332221,33,34,50,100,33,34,50,100,0x78aaabbb,0x78aaabba,0x8baaabba,0xbaaaabba,0xbaaaabaa,0xaaaabbab,0xaaaabaab,2863315628
3751,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,18,17,0,96,68,51,0x23360000,0,0,54,18,0,0,38,19,0x34360000,0x77486000,0x78786000,0x42111111,0x72111111,0x74211111,0x77321121,2000896561
3752,0x8342,0x8775,0x74,0x78,0x77,0x87,0x7777,0x78,72,119,87,69,68,119,88,68,67,-121,72,52,67,72,72,36,67,72,68,35,67,68,52,34,67,68,35,34,67,0x33222234,96,119,104,56,96,135,102,53,0x25606760,0x24606860,0x24606860,0x23606860,0x23606600,0x34606600,0x42111111,839979281
3753,0x1111,0x3111,0x11,0x11,0x11,0x21,0x1111,0x11,33,17,17,34,67,17,50,84,85,34,84,85,101,56,34,66,120,72,34,50,-124,88,34,34,-125,-125,83,52,82,0x43455555,85,69,84,51,52,34,67,34,0x22234566,0xcab67787,0xcab67887,0xcab68887,0xcac68888,0xba688488,0xab684388,2875536517
3754,0x3883,0xac64,0xcb,0xaa,0x8c,0x87,0xaacb,0x8b,-121,-69,-86,-118,-121,-69,-86,-70,-120,-69,-86,-70,120,-69,-85,-70,120,-69,-85,-70,120,-69,-85,-70,120,102,-120,104,96,0x606666cb,171,186,203,6,171,170,170,107,0x6aaaaaa8,0xcaaaaaa8,0xbaaaaaa8,0xbaaaaaa8,0x0,0x0,0x0,0
3755,0x0,0x0,0x6,0x0,0x0,0x0,0x6,0x0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,2289590272
3756,0x6000,0x8668,0x0,0x60,0x6,0x60,0x6000,0x0,0,0,0,0,0,0,0,0,0,0,0,0,96,102,102,102,102,119,119,-120,52,-121,-121,-124,35,103,72,52,34,0x11124666,102,70,18,33,102,70,34,67,0x65434566,0xc6654466,0x33223222,0x43323222,0x65433322,0xc6654332,0xcbc66543,3166352997
3757,0xabc6,0xcbcb,0xab,0xba,0xbc,0x6b,0xaa65,0xaa,-70,102,-86,-86,-69,-58,-86,-86,-69,-58,-86,-86,-69,-58,-86,-70,-69,-74,-86,-70,-53,-74,-86,-70,-68,-84,-86,-53,-69,0xaaaaaaaa,170,171,170,170,186,171,170,170,0xaaaaabba,0xaaaaabbb,0xaaaaaabb,0xaaaaaabb,0xaaaaaaab,0xc6aaaaaa,0xb6baaaaa,3066735274
3758,0xaaaa,0xc66b,0xaa,0xaa,0x6c,0xbb,0xbaaa,0x66,-52,-86,107,-58,-69,-70,-58,-85,-86,-85,-86,-86,-70,-69,-69,-69,-69,-69,-69,-69,-69,-68,-85,-86,-86,-69,-86,-86,-86,0xaabbbbbb,171,170,170,170,170,170,186,204,0xcbbbc666,0xcabbb6cb,0xcaabbc6b,0xcbaabb6c,0xcbaabbc6,0xbbaaabb6,0xbbaaabb6,3148524476
3759,0xcccc,0xbcba,0xbb,0xcb,0xab,0xbc,0xbbbb,0xbc,-70,-69,-85,-53,-70,-69,-85,-54,-85,-69,-69,-70,-68,-69,-69,-86,-68,-69,-69,-85,-53,-86,-86,-86,-86,-86,-86,-86,-86,0xaaaaaaaa,170,170,170,170,170,170,170,170,0xaaaaaaaa,0xaaaaaaab,0xaaaaaaab,0xaaaaaaaa,0xaaaaaaaa,0xaaaaaaaa,0xaaaaaaaa,2863311530
3760,0xaaaa,0xaaaa,0xaa,0xaa,0xaa,0xaa,0xaaaa,0xaa,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0xaaaaaaaa,2863311530
3761,0xaaaa,0xaaaa,0xaa,0xaa,0xaa,0xaa,0xaaaa,0xaa,-86,-86,-86,-86,-86,-86,-86,-86,-70,-86,-86,-86,-70,-69,-69,6,0,-70,-69,108,0,-70,-69,108,0,-70,-69,108,0,0x6bbbba,186,187,107,0,170,187,203,6,0x6cbbbab,0x42111111,0x32111111,0x31111111,0x21111111,0x21111111,0x43221111,1431581201
3762,0x5422,0x3555,0x38,0x22,0x42,0x78,0x2248,0x32,-124,88,34,34,-125,-125,83,52,82,85,85,69,67,85,69,84,51,52,34,67,34,34,50,35,34,-121,119,-74,-54,0xcab67887,135,136,182,202,136,136,198,202,0xba688488,0xab684388,0xab653485,0xac643883,0x878caacb,0x878baacb,0x878aaabb,2293934779
3763,0xaabb,0x78ba,0xbb,0xab,0xba,0x78,0xabbb,0xba,120,-69,-85,-70,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0
3764,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x46006600,0x60066000,0x60066000,0x60660000,0x66600000,1610612736
3765,0x0,0x6000,0x0,0x0,0x0,0x60,0x4523,0x54,38,19,51,99,82,18,50,82,69,17,33,49,34,17,33,17,33,17,17,17,17,17,17,17,17,17,17,17,17,0x11122431,66,34,17,17,52,18,17,17,0x11111122,0x11111112,0x11111111,0x11111111,0x11111111,0xa6888842,0xb6588322,3057852962
3766,0x2221,0xc633,0x21,0x22,0x33,0x65,0x2221,0x33,101,33,34,50,100,33,34,50,100,-69,-85,-86,120,-70,-85,-86,120,-70,-85,-86,-117,-70,-85,-86,-70,-86,-85,-86,-70,0xaaaabbab,171,186,170,170,172,186,170,170,0xbaaaaaa8,0xbaaaaaa8,0xbaaaaaab,0xbaaaaaab,0xaaaaaabb,0xaaaaaabb,0xaaaaabbb,2863315899
3767,0x6b,0x0,0xcb,0x6,0x0,0x0,0x6bb,0x0,0,-69,108,0,0,-69,107,0,0,-69,-53,6,0,-69,-53,108,6,-69,-53,-69,108,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x60000000,0xc6000000,0xb6000000,0xc6000000,3321888768
3768,0x0,0xcc60,0x0,0x0,0x60,0xcc,0x0,0xc6,-52,-68,-69,-69,-52,-69,-52,102,102,-69,-69,108,102,-69,-85,-86,-86,-69,-85,-86,-86,-68,-69,-86,-86,-68,-69,-69,-69,0xabbbbbbc,86,101,198,171,102,198,171,170,0xaaaaaabc,0xbbaaaaaa,0xaabbbaaa,0xaaaaaaaa,0xbaaaaaaa,0x6cbaaaaa,0x6cbbcbaa,3333143482
3769,0xabbb,0xb6ba,0xaa,0xaa,0x6b,0xab,0xbaaa,0xb6,-86,-70,108,-85,-86,108,-74,-86,-70,-74,-86,-70,-53,-85,-70,-68,-69,-86,-54,-69,-86,-86,-53,-85,-86,-86,-68,-86,-70,0xccbaabca,203,186,107,188,188,203,102,102,0xcbbc66cc,0xaabaaaaa,0xbaabbaaa,0x6baabcba,0x6cbaabcc,0xc6cbbaab,0xbc66ccbb,3150734950
